codigo_registro,data_pregao,codigo_mercado,ativo,codigo_bdi,nome,especificador,identificacao_mercado,moeda_cotacao,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,preco_melhor_compra,preco_melhor_venda,numero_negocios,quantidade_acoes,volume_financeiro,preco_fechamento_ajustado,fator_ajuste,codigo_papel_registro
01,2022-03-02,02,PETR4,010,PETROBRAS,PN,N2,R$,35.26,35.29,34.39,34.81,34.67,34.67,0,34689622100000,580718000.0,20217072.98,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-03-02,02,BRFS3,010,BRF SA,ON,NM,R$,16.1,16.78,16.06,16.47,16.52,16.52,0,16551871700000,84594000.0,1394000.13,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-02-11,02,VALE3,010,VALE,ON,NM,R$,93.36,93.4,91.6,92.4,91.97,91.97,0,91989223500000,345553000.0,31932446.08,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-02-11,02,PETR4,010,PETROBRAS,PN,N2,R$,32.77,33.91,32.63,33.49,33.76,33.7,0,33762272400000,880134000.0,29483716.31,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-02-11,02,BRFS3,010,BRF SA,ON,NM,R$,19.19,19.44,18.53,18.92,18.81,18.81,0,18822184000000,100083000.0,1893844.33,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-01-11,02,VALE3,010,VALE,ON,NM,R$,83.48,85.15,83.31,84.39,84.58,84.58,0,84597743500000,284188000.0,23983445.26,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-27,02,VALE3,010,VALE,ON,NM,R$,85.0,85.46,83.27,84.4,84.49,84.41,0,84495569300000,209949000.0,17719741.53,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-11,02,PETR4,010,PETROBRAS,PN,N2,R$,28.1,29.07,27.85,28.6,28.84,28.84,0,28859166200000,736238000.0,21059582.75,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-11,02,BRFS3,010,BRF SA,ON,NM,R$,23.52,23.53,22.42,22.87,23.22,23.21,0,23232824600000,128751000.0,2945384.94,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
01,2022-03-03,02,VALE3,010,VALE,ON,NM,R$,100.2,101.26,99.5,100.33,99.7,99.7,0,99710447800000,386214000.0,38750040.7,0,0000000000009999123100000010000000000000BRVALEACNOR0203
01,2022-01-27,02,PETR4,010,PETROBRAS,PN,N2,R$,34.25,34.64,33.17,33.99,33.88,33.87,0,33883427200000,906310000.0,30809737.8,0,0000000000009999123100000010000000000000BRPETRACNPR6201
01,2022-01-27,02,BRFS3,010,BRF SA,ON,NM,R$,23.0,23.65,22.75,23.19,23.1,23.09,0,23101235400000,48199000.0,1118214.92,0,0000000000009999123100000010000000000000BRBRFSACNOR8120
